Image,Prediction,Probability,Probability Percentage
1.jpg,tabby,0.603196084,60.32
1.jpg,tiger_cat,0.145645916,14.56
1.jpg,Egyptian_cat,0.098369844,9.84
2.jpg,web_site,0.311651081,31.17
2.jpg,tabby,0.188512221,18.85
2.jpg,Egyptian_cat,0.085129388,8.51
3.jpg,Siamese_cat,0.297657222,29.77
3.jpg,Egyptian_cat,0.153399035,15.34
3.jpg,tabby,0.058009848,5.8
4.jpg,redbone,0.179101989,17.91
4.jpg,Irish_terrier,0.117454812,11.75
4.jpg,Rhodesian_ridgeback,0.052770101,5.28
5.jpg,Gordon_setter,0.787726164,78.77
5.jpg,black-and-tan_coonhound,0.073026352,7.3
5.jpg,toy_terrier,0.012978022,1.3
6.jpg,Cardigan,0.463640779,46.36
6.jpg,kelpie,0.199248284,19.92
6.jpg,Chihuahua,0.045236547,4.52
7.jpg,Persian_cat,0.160049304,16
7.jpg,computer_keyboard,0.059338972,5.93
7.jpg,Shetland_sheepdog,0.019647857,1.96
8.jpg,toy_terrier,0.159555614,15.96
8.jpg,whippet,0.14947401,14.95
8.jpg,wire-haired_fox_terrier,0.115116388,11.51
9.jpg,Italian_greyhound,0.384186506,38.42
9.jpg,Mexican_hairless,0.135442585,13.54
9.jpg,whippet,0.035307828,3.53
10.jpg,Egyptian_cat,0.114343144,11.43
10.jpg,tabby,0.090470552,9.05
10.jpg,Siamese_cat,0.074738391,7.47
11.jpg,flat-coated_retriever,0.718441784,71.84
11.jpg,curly-coated_retriever,0.029191321,2.92
11.jpg,Newfoundland,0.02785005,2.79
13.jpg,Persian_cat,0.411869109,41.19
13.jpg,tabby,0.038303658,3.83
13.jpg,lynx,0.027990244,2.8
14.jpg,Egyptian_cat,0.534004867,53.4
14.jpg,tabby,0.211415201,21.14
14.jpg,tiger_cat,0.060526974,6.05
15.jpg,Persian_cat,0.069341019,6.93
15.jpg,tabby,0.06771823,6.77
15.jpg,tiger_cat,0.041978687,4.2
16.jpg,Persian_cat,0.065091163,6.51
16.jpg,sleeping_bag,0.047519617,4.75
16.jpg,tabby,0.043324824,4.33
17.jpg,tabby,0.274077684,27.41
17.jpg,Persian_cat,0.146972492,14.7
17.jpg,lynx,0.110994361,11.1
18.jpg,tabby,0.442376494,44.24
18.jpg,Egyptian_cat,0.313168168,31.32
18.jpg,tiger_cat,0.075158112,7.52
19.jpg,Egyptian_cat,0.279058099,27.91
19.jpg,tabby,0.211382762,21.14
19.jpg,tiger_cat,0.083032377,8.3
20.jpg,Staffordshire_bullterrier,0.477831483,47.78
20.jpg,American_Staffordshire_terrier,0.335366338,33.54
